transaction_day,transaction_count
2026-05-22,2311203
2026-05-21,2320690
2026-05-20,2086396
2026-05-19,1932741
2026-05-18,1824281
2026-05-17,1960969
2026-05-16,1972251
2026-05-15,1788096
2026-05-14,1969580
2026-05-13,2313802
2026-05-12,1966401
2026-05-11,1954445
2026-05-10,1782298
2026-05-09,1843847
2026-05-08,1822874
2026-05-07,1950229
2026-05-06,2018650
2026-05-05,2001403
2026-05-04,2138093
2026-05-03,2480596
2026-05-02,3170691
2026-05-01,2896417
2026-04-30,3197359
2026-04-29,3241629
2026-04-28,3627491
2026-04-27,3161280
2026-04-26,2387950
2026-04-25,2114944
2026-04-24,2035895
2026-04-23,925583