state,avg_inpatient_payment,avg_drug_cost,regional_cost_correlation
AK,21537.314741035872,2740.2095758796759,0.047993612115359643
DC,18965.029045643125,4710.8100832438249,0.047993612115359643
CA,17076.375966724965,4162.2519080134707,0.047993612115359643
HI,17048.815315315296,4314.9689279273607,0.047993612115359643
NY,16621.996498292883,4557.7729102359108,0.047993612115359643
MD,16159.501982884582,3810.0844485069711,0.047993612115359643
CT,15170.114806017429,4257.17828614814,0.047993612115359643
VT,14954.939226519347,3185.5510122859268,0.047993612115359643
OR,14875.154651879217,2967.2684645567465,0.047993612115359643
WA,14773.040775014433,2999.244226153578,0.047993612115359643
MN,14728.431519699807,3161.8367453110004,0.047993612115359643
UT,14716.346028291622,3246.002730156189,0.047993612115359643
MA,14635.995313964344,3577.5395013577004,0.047993612115359643
DE,14146.75808720112,4567.6818102355674,0.047993612115359643
NV,13787.150135869568,3538.5475249209335,0.047993612115359643
NJ,13781.081703280188,4582.8153187117987,0.047993612115359643
AZ,13626.912906910336,3624.2046274068034,0.047993612115359643
CO,13536.544759334218,3186.2239849582816,0.047993612115359643
ND,13415.498239436611,2973.062561008433,0.047993612115359643
RI,13196.358831710699,3425.1782879389007,0.047993612115359643
MI,13122.937054631851,3874.5241614273123,0.047993612115359643
NH,12855.785854616903,3125.3321502050635,0.047993612115359643
PA,12842.90064068904,3939.316066292412,0.047993612115359643
NE,12828.786206896561,3073.4346146059188,0.047993612115359643
ID,12822.142857142862,3025.0799706247781,0.047993612115359643
WI,12801.618862275447,3444.4950910119346,0.047993612115359643
NC,12659.426814454902,3831.7423407273377,0.047993612115359643
IL,12632.708316008317,3601.1515684636347,0.047993612115359643
NM,12590.529718456721,3070.8601734835438,0.047993612115359643
TX,12506.211245772285,4389.6937955255844,0.047993612115359643
WY,12460.551330798487,2581.2287883841291,0.047993612115359643
VA,12428.988423083651,3468.3197175035061,0.047993612115359643
SD,12310.523291925459,3092.2044350143874,0.047993612115359643
SC,12103.909065235812,4023.6292185681682,0.047993612115359643
MO,11957.312338565442,4097.4327527930373,0.047993612115359643
OH,11913.427453856508,4043.1060447989903,0.047993612115359643
GA,11913.133715875485,4190.6903410948044,0.047993612115359643
IN,11813.222047553554,4012.3141725027358,0.047993612115359643
KS,11669.485853658534,3304.9079765183537,0.047993612115359643
MT,11588.898671096338,2952.3760962352021,0.047993612115359643
KY,11562.520601192016,3878.37628723975,0.047993612115359643
ME,11463.924873096445,3218.2165405624141,0.047993612115359643
OK,11444.700000000012,3787.8560597241158,0.047993612115359643
FL,11419.811297290255,4325.6236182171369,0.047993612115359643
IA,11287.280295566483,2959.2086747347976,0.047993612115359643
WV,11247.012775842039,3777.3011185095634,0.047993612115359643
TN,11189.283760015627,3859.3994589932267,0.047993612115359643
LA,11082.910559377795,4021.8019097950955,0.047993612115359643
MS,10656.83731019522,3611.0773318742263,0.047993612115359643
AR,10310.77026492687,3424.6470437426374,0.047993612115359643
AL,10089.675327715344,4260.6355943604194,0.047993612115359643